ID,Binomial,Country,Latitude,Longitude,Class,Order,Family,Genus,Species,System,Units,Native,Included in LPR2024,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
4656,Gadus_morhua,United Kingdom,55.33333,3.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Catch per one hour fishing,1,0,100.0,125.0,30.0,230.0,28.0,221.0,75.0,70.0,128.0,35.0,100.0,75.0,40.0,28.0,47.0,30.0,38.0,57.0,22.0,26.0,22.0,21.0,24.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6228,Gadus_morhua,Canada,46.06667,-57.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Abundance Index (000s),1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.416568,1.480902,1.252087,1.36922,1.550801,1.63861,1.679476,1.943164,2.288928,2.288767,1.901673,1.497014,1.238927,1.010135,0.945492,1.121222,1.472843,1.61926,1.501871,1.35515,1.173248,1.243462,1.401623,1.489389,,
9674,Gadus_morhua,United Kingdom,56.03333,-3.66667,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,mean no of fish per 100000mÂ³ of cooling water per month,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.33,,,,,,,,,,,,,,,,,,,,
11092,Gadus_morhua,Canada,43.374167,-64.7,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Biomass index (kg/tow).,1,0,,,,,,,,,,,,,,14.9,12.3,6.8,9.4,6.2,34.2,9.7,12.2,10.9,9.5,4.1,7.3,8.0,13.3,9.9,7.5,7.2,6.8,6.4,5.0,1.9,2.6,3.5,1.9,2.9,2.0,,,,,,,,,,,,
11093,Gadus_morhua,Canada,44.75,-66.35,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Biomass index (kg/tow).,1,0,,,,,,,,,,,,,,13.3,20.1,33.7,13.5,14.1,24.9,17.3,29.7,16.0,13.8,8.7,16.1,13.7,54.8,15.5,20.9,6.1,9.7,10.0,21.2,13.2,8.0,8.7,5.6,6.0,2.2,,,,,,,,,,,,
11095,Gadus_morhua,Canada,44.3,-51.3,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass ('000 tonnes),1,1,68.9925,66.8352,63.9575,58.6785,60.1227,36.3525,9.4623,12.3479,16.1943,25.0825,36.8529,69.9957,88.7312,88.0147,88.258,82.0181,79.8611,79.6246,60.1781,48.8953,39.5345,30.1728,14.8081,6.1671,4.4909,5.4554,7.6201,8.5851,8.3484,8.3518,7.3955,7.4,8.1235,9.8084,7.6512,8.3758,7.4195,7.1833,8.388,8.8722,9.3559,11.0402,16.087,25.2165,,,,,,,
11096,Gadus_morhua,United States,41.0,-67.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Mean weight per tow (kg),1,1,12.3,10.1,24.0,30.5,8.7,14.5,17.4,13.0,23.0,16.7,7.4,18.5,7.1,6.8,10.0,3.7,4.6,4.4,5.7,4.9,7.0,1.7,3.1,2.4,3.4,5.3,2.8,2.1,2.9,3.1,1.7,2.4,11.1,2.7,6.0,,,,,,,,,,,,,,,,
11117,Gadus_morhua,International Waters,61.76667,-50.26667,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Abundance (1000),1,1,,,,,,,,,,,,,100553.0,55453.0,18540.0,58531.0,130176.0,778042.0,652220.0,422763.0,41358.0,5874.0,2298.0,1798.0,578.0,339.0,851.0,301.0,1799.0,1014.0,2133.0,7990.0,4724.0,6539.0,32572.0,67543.0,248920.0,173095.0,46714.0,10605.0,32246.0,,,,,,,,,,
11118,Gadus_morhua,International Waters,64.2,-35.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Abundance (1000),1,1,,,,,,,,,,,,,12214.0,9819.0,7822.0,12014.0,22838.0,43992.0,25133.0,101758.0,33473.0,11592.0,937.0,4112.0,1103.0,7600.0,1578.0,5559.0,1722.0,3201.0,5255.0,8608.0,10952.0,20111.0,19607.0,91915.0,153196.0,38803.0,142034.0,61422.0,31841.0,,,,,,,,,,
17405,Gadus_morhua,International Waters,46.542777,-44.735888,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Spawning stock biomass,1,1,,,36.6626,20.1623,14.1841,7.6517,8.6509,20.1722,28.4819,24.1649,11.652,13.2049,13.3186,12.2134,19.5261,20.8577,15.5438,12.8883,19.4254,33.7159,25.6331,17.9934,21.097,10.5776,21.5454,19.2221,3.7184,3.4994,3.502,2.5076,2.3992,1.9591,2.1831,2.5181,3.5173,3.9075,4.2979,5.9618,10.5054,20.255,32.9394,32.8864,29.0125,33.0025,42.9179,,,,,,
20558,Gadus_morhua,Canada,47.0,-63.0,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Average Biomass (kg) per standard tow (ie. 1.75 nautical mile tow),1,1,,50.635246,58.881999,53.01182,50.79235,36.604325,44.317568,64.724717,118.416174,135.48646,156.276088,235.463238,199.258135,144.601253,116.326155,198.256717,157.815227,109.594209,183.464659,137.398785,85.027844,66.452048,31.44248,40.416268,39.093951,43.321053,55.485361,42.945178,42.768644,50.228232,41.049742,37.994796,61.282222,17.729057,41.049329,18.293544,25.61458,22.615516,25.586758,24.78373,13.037956,7.030652,6.8325,23.886582,14.735363,16.048721,11.024167,,,,
20598,Gadus_morhua,Canada,59.286076,-59.853639,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Catch per tow,1,0,,,,,,,,,9.36791,2.474576,,13.23,,,,,,0.12963,0.446429,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20599,Gadus_morhua,Canada,56.477534,-56.766309,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Catch per tow,1,0,,,,,,,,,13.995166,18.373333,,23.058133,,44.0,,63.0,41.511278,0.670588,1.840678,,,1.66087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20600,Gadus_morhua,Canada,53.910492,-53.864595,Actinopteri,Gadiformes,Gadidae,Gadus,morhua,Marine,Catch per tow,1,0,1138.928571,143.627907,,5.990592,57.608696,114.763158,66.632143,44.908985,57.313843,50.470145,51.534259,54.556604,63.119937,77.605643,71.671845,62.265185,228.629878,194.671834,71.459677,59.775,48.460365,35.450474,7.837,1.092045,0.605825,,,,,,,,,,,,,,,,,,,,,,,,,,
